checked,date,comment,no,endnoteID,author,year,lastname,author_year_format,author_year,title,country,site,multi_country,setting,representativeness,cohort_abbrev,cohort_abbrev,study_design,fup_period,fup_start,fup_end,dc_period,dc_start,dc_end,data_source,moa,sampling,sample_size,sex,age_specific,start_age,end_age,response_rate,attr_rate,comment about sample characteristics,instrument,diag_criteria,M_EstimateType,M_TypeofAnalysis,page,table,temporality_type,dx1_timing,dx2_timing,dx1_label,dx1_abbrev,dx2_label,dx2_abbrev,pair,unadj_type,unadj_subtype,unadj_rate,unadj_lower,unadj_upper,unadj_pvalue,adj_type,adj_subtype,adj_rate,adj_lower,adj_upper,adj_pvalue,adj_conf,cross_type,cross_subtype,a,b,c,d,double check bs:bv,unadj_indicator1,unadj_indicator2,unadj_indicator,unadjusted_type,adj_indicator,S_QRBackground,S_QRObjective,S_QRSetting,S_QRDataSource,S_QRDiagnosticCriteria,S_QRDiagnosticMethod,S_QRGeneralizability,S_QREstimate,S_QRAdjustment,S_QRBias,S_QRStatistics,S_QREthicalApproval,S_QRTotalScore
yes,7-Oct,,2,155,"Andrews, G",2002,Andrews,Andrews et al (2002),Andrews et al (2002),Deconstructing current comorbidity: data from the Australian National Survey of Mental Health and Well-Being,Australia,,,,N,NSMHWB,The Australian National Survey of Mental Health and Well-Being,CS,,,,1,1997,1997,survey,Face-to-Face interview (both),multistage,10641,both,0,18,99,78,,,CIDI,DSM-IV,odds ratios,logistic regression,309,2,LT,LT,LT,depression,DEP,drug abuse or dependence,DUD,DEP-DUD,overall,,4.5,,,0.001,overall,,1.2,,,0.05,other disorders,,,,,,,,1,0,1,overall,1,0,1,1,2,2,3,0,1,1,0,1,0,12
yes,7-Oct,,3,155,"Andrews, G",2002,Andrews,Andrews et al (2002),Andrews et al (2002),Deconstructing current comorbidity: data from the Australian National Survey of Mental Health and Well-Being,Australia,,,,N,NSMHWB,The Australian National Survey of Mental Health and Well-Being,CS,,,,1,1997,1997,survey,Face-to-Face interview (both),multistage,10641,both,0,18,99,78,,,CIDI,DSM-IV,odds ratios,logistic regression,309,2,LT,LT,LT,dysthymia,DYS,alcohol abuse or dependence,AUD,DYS-AUD,overall,,4.6,,,0.001,overall,,1.2,,,0.05,other disorders,,,,,,,,1,0,1,overall,1,0,1,1,2,2,3,0,1,1,0,1,0,12
yes,7-Oct,,4,155,"Andrews, G",2002,Andrews,Andrews et al (2002),Andrews et al (2002),Deconstructing current comorbidity: data from the Australian National Survey of Mental Health and Well-Being,Australia,,,,N,NSMHWB,The Australian National Survey of Mental Health and Well-Being,CS,,,,1,1997,1997,survey,Face-to-Face interview (both),multistage,10641,both,0,18,99,78,,,CIDI,DSM-IV,odds ratios,logistic regression,309,2,LT,LT,LT,dysthymia,DYS,drug abuse or dependence,DUD,DYS-DUD,overall,,7.2,,,0.001,overall,,2,,,0.05,other disorders,,,,,,,,1,0,1,overall,1,0,1,1,2,2,3,0,1,1,0,1,0,12
yes,7-Oct,,1,103,"Angst, J.",2005,Angst,Angst et al (2005),Angst et al (2005),Obsessive-compulsive syndromes and disorders: significance of comorbidity with bipolar and anxiety syndromes,Switzerland,Zurich,,,S,Zurich study,The Zurich Cohort Study,PC,20,1979,1999,,,,survey,face-to-face Interview (both),stratified,591,both,0,19,41,,38,,SPIKE,DSM-IV,odds ratios,chi-squared,69,7,LT,LT,LT,substance abuse,SA,mood disorder,MOOD,SA-MOOD,,,,,,,,,,,,,,overall,,64,26,144,116,1.983,0,1,1,overall,0,1,1,1,2,2,3,0,0,0,1,1,0,12
yes,7-Oct,,2,103,"Angst, J.",2005,Angst,Angst et al (2005),Angst et al (2005),Obsessive-compulsive syndromes and disorders: significance of comorbidity with bipolar and anxiety syndromes,Switzerland,Zurich,,,S,Zurich study,The Zurich Cohort Study,PC,20,1979,1999,,,,survey,face-to-face Interview (both),stratified,591,both,0,19,41,,38,,SPIKE,DSM-IV,odds ratios,chi-squared,69,7,LT,LT,LT,alcohol abuse or dependence,AUD,mood disorder,MOOD,AUD-MOOD,,,,,,,,,,,,,,overall,,46,23,162,119,1.469,0,1,1,overall,0,1,1,1,2,2,3,0,0,0,1,1,0,12
yes,7-Oct,,3,103,"Angst, J.",2005,Angst,Angst et al (2005),Angst et al (2005),Obsessive-compulsive syndromes and disorders: significance of comorbidity with bipolar and anxiety syndromes,Switzerland,Zurich,,,S,Zurich study,The Zurich Cohort Study,PC,20,1979,1999,,,,survey,face-to-face Interview (both),stratified,591,both,0,19,41,,38,,SPIKE,DSM-IV,odds ratios,chi-squared,69,7,LT,LT,LT,drug abuse,DRA,mood disorder,MOOD,DRA-MOOD,,,,,,,,,,,,,,overall,,26,10,182,132,1.886,0,1,1,overall,0,1,1,1,2,2,3,0,0,0,1,1,0,12
yes,7-Oct,,4,103,"Angst, J.",2005,Angst,Angst et al (2005),Angst et al (2005),Obsessive-compulsive syndromes and disorders: significance of comorbidity with bipolar and anxiety syndromes,Switzerland,Zurich,,,S,Zurich study,The Zurich Cohort Study,PC,20,1979,1999,,,,survey,face-to-face Interview (both),stratified,591,both,0,19,41,,38,,SPIKE,DSM-IV,odds ratios,chi-squared,69,7,LT,LT,LT,benzodiazepine abuse,TRAA,mood disorder,MOOD,TRAA-MOOD,,,,,,,,,,,,,,overall,,15,1,193,141,10.959,0,1,1,overall,0,1,1,1,2,2,3,0,0,0,1,1,0,12
yes,7-Oct,DERIVED ESTIMATE,3,96,"Angst, J.",2006,Angst,Angst et al (2006),Angst et al (2006),Is the association of alcohol use disorders with major depressive disorder a consequence of undiagnosed bipolar-II disorder?,Switzerland,Zurich,,,S,Zurich study,The Zurich Cohort Study,PC,22,1978,1999,,,,survey,Face-to-Face interview (both),stratified,591,both,0,19,41,,38,,SPIKE,"DSM-III, DSM-III-R",odds ratios,logistic regression,454,,PP,12-month,12-month,bipolar II,BIPOLAR II,alcohol abuse,ALA,BIPOLAR II-ALA,,,,,,,overall,,3.14,0.6,16.29,,,,,,,,,,0,0,0,,1,1,1,1,2,2,3,0,1,1,0,1,0,13
yes,7-Oct,DERIVED ESTIMATE,6,96,"Angst, J.",2006,Angst,Angst et al (2006),Angst et al (2006),Is the association of alcohol use disorders with major depressive disorder a consequence of undiagnosed bipolar-II disorder?,Switzerland,Zurich,,,S,Zurich study,The Zurich Cohort Study,PC,22,1978,1999,,,,survey,Face-to-Face interview (both),stratified,591,both,0,19,41,,38,,SPIKE,"DSM-III, DSM-III-R",odds ratios,logistic regression,454,,PP,12-month,12-month,bipolar II,BIPOLAR II,alcohol dependence,ALD,BIPOLAR II-ALD,,,,,,,overall,,5.6,1.85,16.94,,,,,,,,,,0,0,0,,1,1,1,1,2,2,3,0,1,1,0,1,0,13
yes,7-Oct,DERIVED ESTIMATE,9,96,"Angst, J.",2006,Angst,Angst et al (2006),Angst et al (2006),Is the association of alcohol use disorders with major depressive disorder a consequence of undiagnosed bipolar-II disorder?,Switzerland,Zurich,,,S,Zurich study,The Zurich Cohort Study,PC,22,1978,1999,,,,survey,Face-to-Face interview (both),stratified,591,both,0,19,41,,38,,SPIKE,"DSM-III, DSM-III-R",odds ratios,logistic regression,454,,PP,12-month,12-month,major depressive episode,DEP,alcohol abuse,ALA,DEP-ALA,,,,,,,overall,,1.42,0.73,2.79,,,,,,,,,,0,0,0,,1,1,1,1,2,2,3,0,1,1,0,1,0,13
yes,7-Oct,DERIVED ESTIMATE,12,96,"Angst, J.",2006,Angst,Angst et al (2006),Angst et al (2006),Is the association of alcohol use disorders with major depressive disorder a consequence of undiagnosed bipolar-II disorder?,Switzerland,Zurich,,,S,Zurich study,The Zurich Cohort Study,PC,22,1978,1999,,,,survey,Face-to-Face interview (both),stratified,591,both,0,19,41,,38,,SPIKE,"DSM-III, DSM-III-R",odds ratios,logistic regression,454,,PP,12-month,12-month,major depressive episode,DEP,alcohol dependence,ALD,DEP-ALD,,,,,,,overall,,3.25,2.03,5.22,,,,,,,,,,0,0,0,,1,1,1,1,2,2,3,0,1,1,0,1,0,13
yes,7-Oct,,1,185,"Autonell, J.",2007,Autonell,Autonell et al (2007),Autonell et al (2007),One year prevalence of mental disorders comorbidity and associated socio-demographic risk factors in the general population of Spain. Results of the ESEMeD-Spain study,Spain,,,,N,ESEMeD-Spain,The European Study of the Epidemiology of Mental Disorders,CS,,,,2,2001,2002,survey,Face-to-Face interview (both),multistage,5473,both,0,18,99,78.6,,,CIDI,DSM-IV,odds ratios,logistic regression,8,3,PP,12-month,12-month,major depressive episode,DEP,alcohol abuse,ALA,DEP-ALA,,,,,,,overall,,0.71,0.2,2.47,,sociodemographic variables,,,,,,,,0,0,0,,1,1,1,1,2,2,3,1,1,1,1,1,0,15
yes,7-Oct,,2,185,"Autonell, J.",2007,Autonell,Autonell et al (2007),Autonell et al (2007),One year prevalence of mental disorders comorbidity and associated socio-demographic risk factors in the general population of Spain. Results of the ESEMeD-Spain study,Spain,,,,N,ESEMeD-Spain,The European Study of the Epidemiology of Mental Disorders,CS,,,,2,2001,2002,survey,Face-to-Face interview (both),multistage,5473,both,0,18,99,78.6,,,CIDI,DSM-IV,odds ratios,logistic regression,8,3,PP,12-month,12-month,major depressive episode,DEP,alcohol dependence,ALD,DEP-ALD,,,,,,,overall,,3.75,0.48,29.3,,sociodemographic variables,,,,,,,,0,0,0,,1,1,1,1,2,2,3,1,1,1,1,1,0,15
yes,7-Oct,,1,70,"Behrendt, S.",2011,Behrendt,Behrendt et al (2011),odds ratios,The role of mental disorders in the risk and speed of transition to alcohol use disorders among community youth,Germany,Munich,,,S,EDSP,The Early Developmental Stages of Psychopathology,PC,10,1995,2004,,,,survey,Face-to-Face interview (both),random,3021,both,0,14,34,,26.8,,DIA-X/M-CIDI,DSM-IV,hazard ratios,cox regression,1078,2,TO,TO,TO,any affective disorder,MOOD,alcohol abuse,ALA,MOOD-ALA,,,,,,,overall,,1.41,1.1,1.7,,"age, sex, any mood disorder, any anxiety disorder, substance use disorder, externalizing disorder",,,,,,,,0,0,0,,1,1,1,1,2,2,3,0,1,1,0,1,0,13
yes,7-Oct,,2,70,"Behrendt, S.",2011,Behrendt,Behrendt et al (2011),Behrendt et al (2011),The role of mental disorders in the risk and speed of transition to alcohol use disorders among community youth,Germany,Munich,,,S,EDSP,The Early Developmental Stages of Psychopathology,PC,10,1995,2004,,,,survey,Face-to-Face interview (both),random,3021,both,0,14,34,,26.8,,DIA-X/M-CIDI,DSM-IV,hazard ratios,cox regression,1078,2,TO,TO,TO,any affective disorder,MOOD,alcohol dependence,ALD,MOOD-ALD,,,,,,,overall,,1.78,1.2,2.5,,"age, sex, any mood disorder, any anxiety disorder, substance use disorder, externalizing disorder",,,,,,,,0,0,0,,1,1,1,1,2,2,3,0,1,1,0,1,0,13
yes,7-Oct,,3,70,"Behrendt, S.",2011,Behrendt,Behrendt et al (2011),Behrendt et al (2011),The role of mental disorders in the risk and speed of transition to alcohol use disorders among community youth,Germany,Munich,,,S,EDSP,The Early Developmental Stages of Psychopathology,PC,10,1995,2004,,,,survey,Face-to-Face interview (both),random,3021,both,0,14,34,,26.8,,DIA-X/M-CIDI,DSM-IV,hazard ratios,cox regression,1078,2,TO,TO,TO,major depression,DEP,alcohol abuse,ALA,DEP-ALA,,,,,,,overall,,1.17,0.9,1.5,,"age, sex, any mood disorder, any anxiety disorder, substance use disorder, externalizing disorder",,,,,,,,0,0,0,,1,1,1,1,2,2,3,0,1,1,0,1,0,13
yes,7-Oct,,4,70,"Behrendt, S.",2011,Behrendt,Behrendt et al (2011),Behrendt et al (2011),The role of mental disorders in the risk and speed of transition to alcohol use disorders among community youth,Germany,Munich,,,S,EDSP,The Early Developmental Stages of Psychopathology,PC,10,1995,2004,,,,survey,Face-to-Face interview (both),random,3021,both,0,14,34,,26.8,,DIA-X/M-CIDI,DSM-IV,hazard ratios,cox regression,1078,2,TO,TO,TO,major depression,DEP,alcohol dependence,ALD,DEP-ALD,,,,,,,overall,,1.29,0.8,2,,"age, sex, any mood disorder, any anxiety disorder, substance use disorder, externalizing disorder",,,,,,,,0,0,0,,1,1,1,1,2,2,3,0,1,1,0,1,0,13
yes,7-Oct,,5,70,"Behrendt, S.",2011,Behrendt,Behrendt et al (2011),Behrendt et al (2011),The role of mental disorders in the risk and speed of transition to alcohol use disorders among community youth,Germany,Munich,,,S,EDSP,The Early Developmental Stages of Psychopathology,PC,10,1995,2004,,,,survey,Face-to-Face interview (both),random,3021,both,0,14,34,,26.8,,DIA-X/M-CIDI,DSM-IV,hazard ratios,cox regression,1078,2,TO,TO,TO,dysthymia,DYS,alcohol abuse,ALA,DYS-ALA,,,,,,,overall,,1.35,0.8,2.1,,"age, sex, any mood disorder, any anxiety disorder, substance use disorder, externalizing disorder",,,,,,,,0,0,0,,1,1,1,1,2,2,3,0,1,1,0,1,0,13
yes,7-Oct,,6,70,"Behrendt, S.",2011,Behrendt,Behrendt et al (2011),Behrendt et al (2011),The role of mental disorders in the risk and speed of transition to alcohol use disorders among community youth,Germany,Munich,,,S,EDSP,The Early Developmental Stages of Psychopathology,PC,10,1995,2004,,,,survey,Face-to-Face interview (both),random,3021,both,0,14,34,,26.8,,DIA-X/M-CIDI,DSM-IV,hazard ratios,cox regression,1078,2,TO,TO,TO,bipolar disorder,BIPOLAR,alcohol abuse,ALA,BIPOLAR-ALA,,,,,,,overall,,1.67,1.1,2.4,,"age, sex, any mood disorder, any anxiety disorder, substance use disorder, externalizing disorder",,,,,,,,0,0,0,,1,1,1,1,2,2,3,0,1,1,0,1,0,13
yes,7-Oct,,7,70,"Behrendt, S.",2011,Behrendt,Behrendt et al (2011),Behrendt et al (2011),The role of mental disorders in the risk and speed of transition to alcohol use disorders among community youth,Germany,Munich,,,S,EDSP,The Early Developmental Stages of Psychopathology,PC,10,1995,2004,,,,survey,Face-to-Face interview (both),random,3021,both,0,14,34,,26.8,,DIA-X/M-CIDI,DSM-IV,hazard ratios,cox regression,1078,2,TO,TO,TO,bipolar disorder,BIPOLAR,alcohol dependence,ALD,BIPOLAR-ALD,,,,,,,overall,,2.04,1.2,3.3,,"age, sex, any mood disorder, any anxiety disorder, substance use disorder, externalizing disorder",,,,,,,,0,0,0,,1,1,1,1,2,2,3,0,1,1,0,1,0,13
yes,7-Oct,,1,31,"Blanco, C.",2017,Blanco,Blanco et al (2017),Blanco et al (2017),Epidemiology of DSM-5 bipolar I disorder: Results from the National Epidemiologic Survey on Alcohol and Related Conditions - III,USA,,,,N,NESARC-III,National Epidemiologic Survey on Alcohol and Related Conditions III,CS,,,,2,2012,2013,survey,Face-to-Face interview (both),multistage,36309,both,0,18,99,60.1,,,AUDADIS-5,DSM-5,odds ratios,logistic regression,314,3,PP,12-month,12-month,bipolar I,BIPOLAR I,substance use disorder,SUD,BIPOLAR I-SUD,,,,,,,overall,,2,1.56,2.56,,"sex, age, race-ethnicity, marital status, education, household income, urbanicity, region and other psychiatric disorders.",,,,,,,,0,0,0,,1,1,1,1,2,2,3,1,1,1,1,1,1,16
yes,7-Oct,,2,31,"Blanco, C.",2017,Blanco,Blanco et al (2017),Blanco et al (2017),Epidemiology of DSM-5 bipolar I disorder: Results from the National Epidemiologic Survey on Alcohol and Related Conditions - III,USA,,,,N,NESARC-III,National Epidemiologic Survey on Alcohol and Related Conditions III,CS,,,,2,2012,2013,survey,Face-to-Face interview (both),multistage,36309,both,0,18,99,60.1,,,AUDADIS-5,DSM-5,odds ratios,logistic regression,314,3,LT,LT,LT,bipolar I,BIPOLAR I,substance use disorder,SUD,BIPOLAR I-SUD,,,,,,,overall,,2.3,1.77,3.03,,"sex, age, race-ethnicity, marital status, education, household income, urbanicity, region and other psychiatric disorders.",,,,,,,,0,0,0,,1,1,1,1,2,2,3,1,1,1,1,1,1,16
yes,7-Oct,,1,28,"Boschloo, L.",2013,Boschloo,Boschloo et al (2013),Boschloo et al (2013),Depressive and anxiety disorders predicting first incidence of alcohol use disorders: results of the Netherlands Study of Depression and Anxiety (NESDA),Netherlands,,,,N,NESDA,Netherlands Study of Depression and Anxiety,PC,4,2004,2007,,,,survey,Face-to-Face interview (both),multistage,2271,both,0,18,65,,19.4,,CIDI,DSM-IV,hazard ratios,cox regression,1236,2,TO,TO,TO,major depressive disorder,DEP,alcohol abuse,ALA,DEP-ALA,overall,,1.31,0.69,2.5,,,,,,,,,,,,,,,,1,0,1,overall,0,1,1,1,2,2,3,0,1,1,0,1,0,13
yes,7-Oct,,2,28,"Boschloo, L.",2013,Boschloo,Boschloo et al (2013),Boschloo et al (2013),Depressive and anxiety disorders predicting first incidence of alcohol use disorders: results of the Netherlands Study of Depression and Anxiety (NESDA),Netherlands,,,,N,NESDA,Netherlands Study of Depression and Anxiety,PC,4,2004,2007,,,,survey,Face-to-Face interview (both),multistage,2271,both,0,18,65,,19.4,,CIDI,DSM-IV,hazard ratios,cox regression,1236,2,TO,TO,TO,major depressive disorder,DEP,alcohol dependence,ALD,DEP-ALD,overall,,2.14,1.32,3.45,,,,,,,,,,,,,,,,1,0,1,overall,0,1,1,1,2,2,3,0,1,1,0,1,0,13
yes,7-Oct,,3,28,"Boschloo, L.",2013,Boschloo,Boschloo et al (2013),Boschloo et al (2013),Depressive and anxiety disorders predicting first incidence of alcohol use disorders: results of the Netherlands Study of Depression and Anxiety (NESDA),Netherlands,,,,N,NESDA,Netherlands Study of Depression and Anxiety,PC,4,2004,2007,,,,survey,Face-to-Face interview (both),multistage,2271,both,0,18,65,,19.4,,CIDI,DSM-IV,hazard ratios,cox regression,1236,2,TO,TO,TO,dysthymia,DYS,alcohol abuse,ALA,DYS-ALA,overall,,0.31,0.04,2.23,,,,,,,,,,,,,,,,1,0,1,overall,0,1,1,1,2,2,3,0,1,1,0,1,0,13
yes,7-Oct,,4,28,"Boschloo, L.",2013,Boschloo,Boschloo et al (2013),Boschloo et al (2013),Depressive and anxiety disorders predicting first incidence of alcohol use disorders: results of the Netherlands Study of Depression and Anxiety (NESDA),Netherlands,,,,N,NESDA,Netherlands Study of Depression and Anxiety,PC,4,2004,2007,,,,survey,Face-to-Face interview (both),multistage,2271,both,0,18,65,,19.4,,CIDI,DSM-IV,hazard ratios,cox regression,1236,2,TO,TO,TO,dysthymia,DYS,alcohol dependence,ALD,DYS-ALD,overall,,2.96,1.64,5.34,,,,,,,,,,,,,,,,1,0,1,overall,0,1,1,1,2,2,3,0,1,1,0,1,0,13
yes,7-Oct,,1,196,"Boyd, Jeffrey H.",1984,Boyd,Boyd et al (1984),Boyd et al (1984),Exclusion Criteria of DSM-III: A Study of Co-occurrence of Hierarchy-Free Syndromes,USA,"New Haven, Baltimore, St Louis",,,S,ECA,Epidemiology Catchment Area,CS,,,,1,,,survey,Face-to-Face interview (both),multistage,11519,both,0,18,99,75.6-81.4,,,DIS,DSM-III,odds ratios,logistic regression,987,5,PP,1-month,1-month,major depressive episode,DEP,alcohol abuse or dependence,AUD,DEP-AUD,overall,,4.1,,,0.001,,,,,,,,,,,,,,,1,0,1,overall,0,1,1,1,2,2,3,1,1,0,0,1,0,13
